id	filename	md5	size	state
94e1cadc-999a-4bd2-bb21-a86397e38267	14add416-7ddd-4e46-8b21-87fdcba1b22e.rna_seq.augmented_star_gene_counts.tsv	f739189003a35964704f19317731e122	4243205	released
d949f70e-1716-4949-833c-cead873b975a	8eb9d579-9aad-437b-9f15-dc6dde7cc7c8.rna_seq.augmented_star_gene_counts.tsv	d075664bce4e574f25a4f32b38562bd0	4252988	released
20d2462a-fb40-451f-b555-22bd9ec41d52	c863c768-d9ec-4408-bcb1-a80f2c5257fd.rna_seq.augmented_star_gene_counts.tsv	ba842842b2718b69c451be342fe7a8ab	4235734	released
82c6a99e-86b3-4e6d-a541-9fec2b65b50e	ff0ade21-b72b-45e5-a00c-8e40ece2f64b.rna_seq.augmented_star_gene_counts.tsv	87f2ef65ceb46403e738d6b8ca60acef	4243245	released
459da1a3-90a4-44ab-b305-f53f0721e4cb	ad4e3ae3-c266-4392-b51f-8e229ca588c2.rna_seq.augmented_star_gene_counts.tsv	860ea55d08936ede9d0279a611079f23	4214562	released
0b4ce49c-2c26-4a99-b7d8-7b29348c79a3	ed00fd94-9534-4bde-bf77-6f40ecbd4caa.rna_seq.augmented_star_gene_counts.tsv	d6b9e6fcdefbf5ee0521df0bcc707f03	4211983	released
47bc8206-8d3d-47f3-b991-a688262a5725	af132346-65d1-4e0b-850d-fbfb486e9e25.rna_seq.augmented_star_gene_counts.tsv	31affad34bd72483012e271c32c2a5f6	4241935	released
55befc92-6a8d-4724-bf44-3a1663f61194	45cc5081-38e5-4808-b016-fa9ec9a8335e.rna_seq.augmented_star_gene_counts.tsv	6cf41c3535d5d44bd7f6ba46412bd1a7	4247721	released
aeb93252-cec4-434a-9320-a7288e1bbae1	bd7e0009-8ab5-4d68-8b48-a0fdeffad5b2.rna_seq.augmented_star_gene_counts.tsv	100f758782196cd65758794e5e6caa22	4239030	released
4f107826-fb89-4a83-a54f-e4f503b242e3	b0699b56-9990-4192-b444-e83bf960ce56.rna_seq.augmented_star_gene_counts.tsv	fdbc5ab21429b468f91605af8d0dca5d	4212680	released
50d4b3a0-b87d-4b2a-9c0f-187b2fd1f1fb	465c7080-be77-4695-9103-d51ac51e170f.rna_seq.augmented_star_gene_counts.tsv	e07e7a505b18ed8168430f044fd4d451	4233938	released
48309342-2b4e-484d-b9b1-fc9cd4e56043	771fc1a7-aee0-428c-92e2-655c600afb72.rna_seq.augmented_star_gene_counts.tsv	8f7005422a02dd5aa366643e8994c8b3	4251916	released
ffccf6fa-b5c8-4fd8-a215-42e34fa97e2a	55593f28-69c1-43fe-bdd1-b846b321ccb0.rna_seq.augmented_star_gene_counts.tsv	7bfe0b2f360569c3a030efa02e0d7c13	4234624	released
cadb84e9-3498-47c9-90bb-e1a3a71eb685	c70c5e83-8907-4816-ba59-58c7b14d95c9.rna_seq.augmented_star_gene_counts.tsv	14de167a5b41e9db3f61cee53df6f186	4220123	released
091d9ed1-6127-4b37-b2d5-a463b28e2e9e	c8d14d90-63a8-4576-ae80-ef8582792d16.rna_seq.augmented_star_gene_counts.tsv	40f40e2d96bb24a4d08132667ad8a3b5	4238512	released
9f42e30b-fb32-44d3-b00d-8e6c48e30415	82215367-5f02-47bc-b9d1-8a0e94e17a4f.rna_seq.augmented_star_gene_counts.tsv	0fa41240a7e0f51206dc9054b4bcf757	4259228	released
f406bd53-3f55-4d39-a905-febf31447ab9	4a1dc15b-a910-4349-8290-dca495cadabc.rna_seq.augmented_star_gene_counts.tsv	99d9434b999518f5cf9d72a62159e6a3	4251534	released
428a206a-0c72-49f3-9a63-9ad4b6e4210b	52a4e9af-aafc-45ef-909a-7fe7b24c1840.rna_seq.augmented_star_gene_counts.tsv	a9bca6be3a45b46a28576124ae76cc78	4245109	released
dede1728-3402-41de-bdb5-f27c8ae6d8a1	32bcbc9f-1e48-4257-b262-8707efbdc464.rna_seq.augmented_star_gene_counts.tsv	1403edfa267fb81f5e8640ce0f75dd96	4250679	released
c0be8069-8e65-4441-930a-bb8178445e3b	36532c8b-643c-4271-bb66-06a42e47914d.rna_seq.augmented_star_gene_counts.tsv	dd9b6e9d00bf9c90ff3dfc52a629c66e	4253676	released
3c77130a-f708-4f9d-b27e-581f080a08f5	82a06ec4-c14e-423b-aa32-1b8cae079e62.rna_seq.augmented_star_gene_counts.tsv	0487e5979b1690c89ddc0eb0cbaa5a20	4229039	released
668aa8c5-9d33-4efb-a664-9facc4631d91	8bad636e-76fd-497d-88b2-da3b17e39db8.rna_seq.augmented_star_gene_counts.tsv	370266287eefb97cd492e7ecc939388e	4246745	released
dcb89df3-3699-45fb-a636-9bff204ff377	e47989a4-a2f7-46b7-9244-c91e0ae0ee0f.rna_seq.augmented_star_gene_counts.tsv	874b4d68e0dc77d143a4908f9313667a	4249463	released
76a8b7a8-22d5-4a15-b525-063e618bdbd1	2aee1577-ad29-4544-b07b-22d3b564eea3.rna_seq.augmented_star_gene_counts.tsv	38628c6311a1f98e6eb2279545d9e5d0	4260820	released
e454b54e-857c-4653-9909-4beaf83dbcb8	856b8cf2-10c8-4821-a2d8-1fd249503f20.rna_seq.augmented_star_gene_counts.tsv	50fb845b15a1c25d4d742b6659b6618c	4236855	released
a0dcc98a-2a34-4012-8591-9fc899059f1c	7b357410-b2eb-46ac-8046-09c95f2d2d39.rna_seq.augmented_star_gene_counts.tsv	a0a808ddd9e7b046e1b33a4b944e5fbc	4250792	released
72768520-c92d-43a3-a003-e018e0249551	76cd1f5f-f269-4520-9b24-1516d4380fe6.rna_seq.augmented_star_gene_counts.tsv	712205271d01e5eacab7c40e14afc730	4254537	released
1b20bd1e-95de-4a14-9245-e92523e1f307	8c2873db-5e99-4c10-81f9-3100d95aeff9.rna_seq.augmented_star_gene_counts.tsv	adff30cdbbfcdefdb21f0b80ffb58544	4249999	released
7c1b526c-03c9-4263-b1df-f3665add802c	4e86718f-bdf5-4fed-9a90-d8f346afeb7e.rna_seq.augmented_star_gene_counts.tsv	9b72ec62db2988b6c440bb79d258b64a	4253615	released
cbf2086d-a4e8-4bd9-a815-b9fe1169bc02	fcfc91d4-55c7-4017-bfc0-84e709ab4399.rna_seq.augmented_star_gene_counts.tsv	532e7b31cf0de104b60fe54afea2f2cc	4226714	released
7ee838c7-0dc3-4858-b9f2-de1da107c141	7dfcbdec-4dea-4486-9502-3b0f482b82b4.rna_seq.augmented_star_gene_counts.tsv	779daa4f2601eb05a41c348d2669b44f	4248945	released
229931f0-99d0-4ea7-9ab9-03699f1b6611	ae8eccfd-0f11-425c-99f6-85ed837a5970.rna_seq.augmented_star_gene_counts.tsv	ea440d8454504af9c7f23bf9202593d4	4246081	released
2a521f2c-2d25-4594-9fd2-2dc68179e88d	705aae46-c28d-4935-8bb1-dbfa08a2b315.rna_seq.augmented_star_gene_counts.tsv	c0a9c4452beb0e04b6e9b8a2c66ce713	4231740	released
